Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1556118,1544816,1536021,1530963,1530148,1532984,1538334,1544503,1550226,1555133,1559427,1563141,1566459
Armenia,ARM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,9.77,14.01,19.68,21.29,19.65,18.18,18.14,19.47,19.25,17.48,17.47,20.4,20.27
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.81,22.97,18.44,19.01,18.44,17.3,16.18,17.5,18.26,17.62,17.7,18.97,18.3
Armenia,ARM,"Children out of school, primary",SE.PRM.UNER,3288,..,..,..,6728,5023,4874,8641,7779,9460,9961,11426,14928
Armenia,ARM,"Children out of school, primary, female",SE.PRM.UNER.FE,843,..,..,..,2718,2023,2029,3779,3105,4102,4628,5376,6952
Armenia,ARM,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,40.25,38.32,36.59,36.94,39.74,40.79,41.1,39.9,39.39,38.81,38.7,34.31,34.21
Armenia,ARM,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,23.75,19.97,15.4,15.07,17.5,19.24,19.24,18.55,22.7,16.57,18.21,19.16,18.01
Armenia,ARM,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,27.28,23.72,19.72,21.45,23.83,25.47,25.35,24.31,27.52,22.96,22.47,23.57,22.52
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,309.336.934,3.335.244.164,288.433.947,2.958.838.999,3.098.742.304,3.312.980.008,3.406.536.118,3.511.225.059,3.607.289.299,3.601.469.664,3.860.218.058,4.051.384.967,4.350.466.198
Armenia,ARM,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.8,4.8,4.8,6.8,6.8,7.4,6.4,6.3,6.2,5.7,3,2.1,3.3
Armenia,ARM,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,3.1,2.7,1.9,3.5,4.4,4.4,5.2,4.6,3.7,2.6,0.7,0.9,1.3
Armenia,ARM,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,1,1,1,1,1,1,1,1,1,1,1,1,1
