Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.407.360.896,8.949.953.354,3.406.766.827,8.176.361.385,7.650.008.079,2.558.020.078,5.789.667.785,2.981.308.689,3.731.691.193,-1.403.607.559,0.969553269,252.023.382,1.443.446.608
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.277.875.539,5.989.562.361,2.497.253.079,7.768.715.481,4.281.549.998,5.345.804.418,3.366.824.642,230.918.243,1.213.909.905,0.268575077,2.150.641.898,2.787.709.514,1.065.622.639
Armenia,ARM,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,0.090000004,0.090000004,0.090000004,0.129999995,0.289999992,0.230000004,0.180000007,0.560000002,0.340000004,0.400000006,0.519999981,0.310000002,0.319999993
Armenia,ARM,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,3.822.999.954,3.604.000.092,3.740.000.153,4.113.000.107,4.113.999.939,4.068.000.031,4.202.000.046,4.447.000.122,43.75,4.320.999.908,4.354.000.092,3.786.999.893,3.988.999.939
Armenia,ARM,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2.488.199.997,1.938.100.052,1.540.200.043,1.506.999.969,1.749.799.919,1.924.200.058,1.924.600.029,1.854.700.089,2.270.400.047,1.656.699.944,182.159.996,191.609.993,2.368.400.002
Armenia,ARM,"Population, total",SP.POP.TOTL,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1556118,1544816,1536021,1530963,1530148,1532984,1538334,1544503,1550226,1555133,1559427,1563141,1566459
Armenia,ARM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,9.767.000.198,150.170.002,1.968.899.918,2.129.199.982,1.964.999.962,1.817.900.085,181.420.002,1.946.800.041,1.925.600.052,1.749.099.922,1.746.899.986,2.040.699.959,1.929.199.982
Armenia,ARM,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,1.026.299.953,2.856.100.082,4.552.000.046,4.761.199.951,4.404.999.924,3.960.100.174,4.067.499.924,4.461.999.893,366.590.004,4.518.999.863,4.429.399.872,3.957.400.131,3.421.099.854
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361
